PWM,V_out,V_d,I_d_mA
869,1.7906,1.756,0.1586
870,1.793,1.7568,0.166
871,1.7963,1.76,0.166
872,1.7971,1.7584,0.177
873,1.7995,1.7592,0.1844
874,1.8027,1.7608,0.1918
875,1.8051,1.7608,0.2028
876,1.8051,1.7624,0.1955
877,1.8084,1.764,0.2028
878,1.81,1.7632,0.2139
879,1.8124,1.7632,0.225
880,1.8132,1.7656,0.2176
881,1.8164,1.7681,0.2213
882,1.8188,1.7664,0.2397
883,1.8204,1.7697,0.2324
884,1.8221,1.7705,0.236
885,1.8237,1.7705,0.2434
886,1.8277,1.7721,0.2545
887,1.8285,1.7713,0.2619
888,1.8301,1.7737,0.2582
889,1.8333,1.7745,0.2692
890,1.8341,1.7753,0.2692
891,1.8358,1.7761,0.2729
892,1.839,1.7785,0.2766
893,1.8414,1.7769,0.2951
894,1.843,1.7793,0.2914
895,1.8446,1.7793,0.2987
896,1.8462,1.7818,0.2951
897,1.8495,1.7826,0.3061
898,1.8503,1.7826,0.3098
899,1.8543,1.7826,0.3282
900,1.8551,1.7834,0.3282
901,1.8567,1.7834,0.3356
902,1.8599,1.7842,0.3467
903,1.8623,1.7858,0.3504
904,1.8632,1.7866,0.3504
905,1.8656,1.7866,0.3614
906,1.868,1.7882,0.3651
907,1.8696,1.789,0.3688
908,1.872,1.7898,0.3762
909,1.8744,1.789,0.3909
910,1.8768,1.7906,0.3946
911,1.8785,1.7914,0.3983
912,1.8801,1.7914,0.4057
913,1.8825,1.7922,0.4131
914,1.8849,1.793,0.4204
915,1.8857,1.793,0.4241
916,1.8881,1.7947,0.4278
917,1.8889,1.7947,0.4315
918,1.893,1.7922,0.461
919,1.8938,1.7963,0.4463
920,1.897,1.7955,0.4647
921,1.8994,1.7955,0.4758
922,1.901,1.7979,0.4721
923,1.9034,1.7987,0.4795
924,1.9051,1.7987,0.4868
925,1.9067,1.7987,0.4942
926,1.9099,1.8011,0.4979
927,1.9115,1.8003,0.509
928,1.9131,1.8019,0.509
929,1.9147,1.8027,0.5127
930,1.9171,1.8019,0.5274
931,1.9188,1.8035,0.5274
932,1.9212,1.8011,0.5495
933,1.9236,1.8027,0.5532
934,1.926,1.8019,0.568
935,1.9276,1.8051,0.5606
936,1.93,1.8051,0.5717
937,1.9308,1.8067,0.568
938,1.9333,1.8067,0.579
939,1.9365,1.8067,0.5938
940,1.9373,1.8067,0.5975
941,1.9397,1.8075,0.6049
942,1.9421,1.8075,0.6159
943,1.9437,1.8092,0.6159
944,1.9462,1.8084,0.6307
945,1.9478,1.8092,0.6344
946,1.9502,1.81,0.6417
947,1.9518,1.8108,0.6454
948,1.9542,1.81,0.6602
949,1.9574,1.8116,0.6676
950,1.959,1.8124,0.6712
951,1.9607,1.8132,0.6749
952,1.9631,1.8124,0.6897
953,1.9647,1.814,0.6897
954,1.9671,1.814,0.7007
955,1.9679,1.814,0.7044
956,1.9711,1.8148,0.7155
957,1.9727,1.8148,0.7229
958,1.9752,1.8156,0.7303
959,1.9776,1.8156,0.7413
960,1.9792,1.8156,0.7487
961,1.9816,1.8164,0.7561
962,1.9824,1.8172,0.7561
963,1.9864,1.8156,0.7819
964,1.9873,1.818,0.7745
965,1.9897,1.8188,0.7819
966,1.9913,1.8188,0.7893
967,1.9945,1.8172,0.8114
968,1.9961,1.8204,0.804
969,1.9969,1.818,0.8188
970,1.9993,1.8212,0.8151
971,2.0018,1.8212,0.8261
972,2.0042,1.8221,0.8335
973,2.005,1.8221,0.8372
974,2.0074,1.8229,0.8446
975,2.0098,1.8221,0.8593
976,2.0122,1.8221,0.8704
977,2.0138,1.8229,0.8741
978,2.0147,1.8229,0.8778
979,2.0187,1.8245,0.8888
980,2.0211,1.8245,0.8999
981,2.0227,1.8245,0.9073
982,2.0243,1.8261,0.9073
983,2.0259,1.8261,0.9147
984,2.0284,1.8261,0.9257
985,2.0308,1.8269,0.9331
986,2.0332,1.8261,0.9479
987,2.0348,1.8301,0.9368
988,2.0372,1.8277,0.9589
989,2.0388,1.8269,0.97
990,2.0412,1.8269,0.981
991,2.0429,1.8293,0.9774
992,2.0453,1.8277,0.9958
993,2.0469,1.8293,0.9958
994,2.0493,1.8301,1.0032
995,2.0501,1.8301,1.0069
996,2.0541,1.8301,1.0253
997,2.0549,1.8301,1.029
998,2.0566,1.8309,1.0327
999,2.059,1.8301,1.0474
1000,2.0614,1.8309,1.0548
1001,2.0638,1.8325,1.0585
1002,2.0662,1.8333,1.0659
1003,2.067,1.8325,1.0733
1004,2.0711,1.8325,1.0917
1005,2.0711,1.8341,1.0843
1006,2.0743,1.8333,1.1028
1007,2.0759,1.8349,1.1028
1008,2.0783,1.8358,1.1101
1009,2.0799,1.8341,1.1249
1010,2.0823,1.8349,1.1323
1011,2.0848,1.8349,1.1433
1012,2.0872,1.8366,1.147
1013,2.088,1.8366,1.1507
1014,2.0896,1.8358,1.1618
1015,2.092,1.8366,1.1691
1016,2.0952,1.8374,1.1802
1017,2.0968,1.8366,1.1913
1018,2.0993,1.8374,1.1986
1019,2.1017,1.8358,1.2171
1020,2.1041,1.8382,1.2171
1021,2.1049,1.8382,1.2208
1022,2.1065,1.8382,1.2282
1023,2.1089,1.839,1.2355
1024,2.1114,1.8422,1.2318
1025,2.113,1.8374,1.2613
1026,2.117,1.8406,1.265
1027,2.117,1.8406,1.265
1028,2.1202,1.8406,1.2798
1029,2.121,1.8422,1.2761
1030,2.1234,1.8406,1.2945
1031,2.1259,1.8422,1.2982
1032,2.1275,1.8414,1.3093
1033,2.1299,1.8414,1.3204
1034,2.1315,1.8422,1.324
1035,2.1339,1.843,1.3314
1036,2.1355,1.8422,1.3425
1037,2.1379,1.843,1.3499
1038,2.1396,1.8438,1.3536
1039,2.142,1.8438,1.3646
1040,2.1444,1.8438,1.3757
1041,2.1452,1.8438,1.3794
1042,2.1492,1.843,1.4015
1043,2.15,1.8454,1.3941
1044,2.1525,1.8454,1.4052
1045,2.1549,1.8446,1.4199
1046,2.1589,1.8454,1.4347
1047,2.1581,1.847,1.4236
1048,2.1605,1.847,1.4347
1049,2.1621,1.8462,1.4458
1050,2.1645,1.8478,1.4494
1051,2.1662,1.8462,1.4642
1052,2.1694,1.8486,1.4679
1053,2.1718,1.8454,1.4937
1054,2.1718,1.8478,1.4826
1055,2.175,1.847,1.5011
1056,2.1774,1.8486,1.5048
1057,2.179,1.8478,1.5158
1058,2.1815,1.8495,1.5195
1059,2.1831,1.8495,1.5269
1060,2.1855,1.8486,1.5416
1061,2.1879,1.8503,1.5453
1062,2.1887,1.8495,1.5527
1063,2.1911,1.8495,1.5638
1064,2.1927,1.8511,1.5638
1065,2.196,1.8511,1.5785
1066,2.1976,1.8511,1.5859
1067,2.2,1.8511,1.597
1068,2.2016,1.8519,1.6007
1069,2.204,1.8519,1.6117
1070,2.2056,1.8519,1.6191
1071,2.2081,1.8543,1.6191
1072,2.2105,1.8519,1.6412
1073,2.2121,1.8535,1.6412
1074,2.2137,1.8543,1.6449
1075,2.2177,1.8535,1.667
1076,2.2185,1.8543,1.667
1077,2.221,1.8535,1.6818
1078,2.2226,1.8559,1.6781
1079,2.2242,1.8543,1.6929
1080,2.2266,1.8543,1.7039
1081,2.229,1.8551,1.7113
1082,2.2306,1.8551,1.7187
1083,2.233,1.8551,1.7297
1084,2.2355,1.8559,1.7371
1085,2.2363,1.8559,1.7408
1086,2.2387,1.8551,1.7556
1087,2.2419,1.8559,1.7666
1088,2.2427,1.8559,1.7703
1089,2.2451,1.8575,1.774
1090,2.2475,1.8575,1.7851
1091,2.2484,1.8567,1.7924
1092,2.2516,1.8583,1.7998
1093,2.2532,1.8591,1.8035
1094,2.2556,1.8583,1.8183
1095,2.2564,1.8567,1.8293
1096,2.2596,1.8583,1.8367
1097,2.2612,1.8583,1.8441
1098,2.2637,1.8575,1.8588
1099,2.2653,1.8575,1.8662
1100,2.2677,1.8591,1.8699
1101,2.2693,1.8583,1.881
1102,2.2717,1.8591,1.8883
1103,2.2741,1.8591,1.8994
1104,2.2766,1.8607,1.9031
1105,2.279,1.8607,1.9141
1106,2.2798,1.8607,1.9178
1107,2.2806,1.8599,1.9252
1108,2.2838,1.8615,1.9326
1109,2.2862,1.8632,1.9363
1110,2.2886,1.8615,1.9547
1111,2.2911,1.8632,1.9584
1112,2.2927,1.8623,1.9695
1113,2.2935,1.8615,1.9768
1114,2.2967,1.8632,1.9842
1115,2.2991,1.8632,1.9953
1116,2.3007,1.8632,2.0027
1117,2.3031,1.864,2.01
1118,2.3064,1.8648,2.0211
1119,2.3064,1.8648,2.0211
1120,2.3088,1.8623,2.0432
1121,2.3112,1.8648,2.0432
1122,2.3128,1.864,2.0543
1123,2.3144,1.8648,2.058
1124,2.3177,1.8648,2.0727
1125,2.3193,1.8648,2.0801
1126,2.3217,1.8656,2.0875
1127,2.3241,1.8656,2.0986
1128,2.3257,1.8664,2.1022
1129,2.3273,1.8632,2.1244
1130,2.3297,1.8672,2.117
1131,2.3314,1.8672,2.1244
1132,2.333,1.8672,2.1318
1133,2.3354,1.868,2.1391
1134,2.3386,1.8648,2.1686
1135,2.3402,1.8672,2.1649
1136,2.3418,1.8688,2.1649
1137,2.3442,1.868,2.1797
1138,2.3459,1.8672,2.1908
1139,2.3475,1.868,2.1944
1140,2.3499,1.868,2.2055
1141,2.3523,1.8704,2.2055
1142,2.3555,1.8696,2.224
1143,2.3571,1.8688,2.235
1144,2.3588,1.8712,2.2313
1145,2.3604,1.8696,2.2461
1146,2.3628,1.8696,2.2571
1147,2.3652,1.8704,2.2645
1148,2.3668,1.8696,2.2756
1149,2.3684,1.8712,2.2756
1150,2.3708,1.8712,2.2867
1151,2.3725,1.8712,2.294
1152,2.3749,1.8712,2.3051
1153,2.3765,1.872,2.3088
1154,2.3789,1.872,2.3198
1155,2.3813,1.8728,2.3272
1156,2.3837,1.872,2.342
1157,2.3853,1.8712,2.353
1158,2.3878,1.872,2.3604
1159,2.3894,1.8728,2.3641
1160,2.3918,1.8728,2.3752
1161,2.3926,1.8728,2.3789
1162,2.395,1.872,2.3936
1163,2.3966,1.8736,2.3936
1164,2.399,1.8736,2.4047
1165,2.4023,1.8744,2.4157
1166,2.4031,1.8744,2.4194
1167,2.4055,1.8744,2.4305
1168,2.4087,1.8744,2.4452
1169,2.4103,1.8752,2.4489
1170,2.4119,1.876,2.4526
1171,2.4136,1.876,2.46
1172,2.416,1.8752,2.4747
1173,2.4184,1.876,2.4821
1174,2.4192,1.876,2.4858
1175,2.4224,1.8744,2.5079
1176,2.4248,1.8752,2.5153
1177,2.4256,1.876,2.5153
1178,2.4289,1.8744,2.5374
1179,2.4305,1.8768,2.5338
1180,2.4329,1.8768,2.5448
1181,2.4345,1.876,2.5559
1182,2.4361,1.8768,2.5596
1183,2.4377,1.8768,2.567
1184,2.4393,1.8768,2.5743
1185,2.4418,1.8785,2.578
1186,2.4458,1.8777,2.6001
1187,2.4474,1.8801,2.5965
1188,2.4482,1.8793,2.6038
1189,2.4514,1.8785,2.6223
1190,2.4538,1.8785,2.6333
1191,2.4555,1.8785,2.6407
1192,2.4571,1.8793,2.6444
1193,2.4595,1.8793,2.6555
1194,2.4611,1.8793,2.6628
1195,2.4635,1.8809,2.6665
1196,2.4651,1.8801,2.6776
1197,2.4675,1.8793,2.6923
1198,2.47,1.8801,2.6997
1199,2.4708,1.8809,2.6997
1200,2.4732,1.8817,2.7071
1201,2.4756,1.8817,2.7182
1202,2.478,1.8817,2.7292
1203,2.4796,1.8801,2.744
1204,2.4821,1.8809,2.7514
1205,2.4845,1.8809,2.7624
1206,2.4861,1.8817,2.7661
1207,2.4885,1.8809,2.7809
1208,2.4909,1.8817,2.7882
1209,2.4933,1.8825,2.7956
1210,2.4949,1.8825,2.803
1211,2.4974,1.8817,2.8177
1212,2.4982,1.8833,2.8141
1213,2.4998,1.8833,2.8214
1214,2.503,1.8841,2.8325
1215,2.5054,1.8833,2.8473
1216,2.507,1.8825,2.8583
1217,2.5086,1.8841,2.8583
1218,2.5119,1.8849,2.8694
1219,2.5127,1.8841,2.8768
1220,2.5159,1.8849,2.8878
1221,2.5175,1.8849,2.8952
1222,2.5199,1.8841,2.9099
1223,2.5215,1.8841,2.9173
1224,2.524,1.8857,2.921
1225,2.5256,1.8857,2.9284
1226,2.528,1.8849,2.9431
1227,2.5296,1.8849,2.9505
1228,2.532,1.8857,2.9579
1229,2.5344,1.8833,2.98
1230,2.5368,1.8849,2.9837
1231,2.5377,1.8857,2.9837
1232,2.5401,1.8865,2.9911
1233,2.5425,1.8865,3.0022
1234,2.5441,1.8865,3.0095
1235,2.5465,1.8873,3.0169
1236,2.5497,1.8873,3.0317
1237,2.5514,1.8881,3.0353
1238,2.5522,1.8841,3.0575
1239,2.5546,1.8873,3.0538
1240,2.5562,1.8873,3.0612
1241,2.5586,1.8897,3.0612
1242,2.561,1.8849,3.0944
1243,2.5634,1.8881,3.0907
1244,2.5651,1.8889,3.0944
1245,2.5667,1.8905,3.0944
1246,2.5691,1.8889,3.1128
1247,2.5707,1.8897,3.1165
1248,2.5723,1.8897,3.1239
1249,2.5747,1.8897,3.1349
1250,2.5763,1.8889,3.146
1251,2.5779,1.8897,3.1497
1252,2.5812,1.8873,3.1755
1253,2.5828,1.8889,3.1755
1254,2.5852,1.8897,3.1829
1255,2.5876,1.8905,3.1903
1256,2.59,1.8897,3.205
1257,2.5916,1.8905,3.2087
1258,2.5933,1.8905,3.2161
1259,2.5957,1.8914,3.2234
1260,2.5981,1.8914,3.2345
1261,2.6005,1.8914,3.2456
1262,2.6013,1.8914,3.2493
1263,2.6037,1.8914,3.2603
1264,2.6053,1.8946,3.2529
1265,2.6086,1.8922,3.2788
1266,2.6094,1.8938,3.2751
1267,2.611,1.8922,3.2898
1268,2.6134,1.893,3.2972
1269,2.6158,1.893,3.3083
1270,2.6182,1.8922,3.323
1271,2.6207,1.8938,3.3267
1272,2.6223,1.8938,3.3341
1273,2.6247,1.893,3.3488
1274,2.6263,1.8938,3.3525
1275,2.6287,1.8914,3.3747
1276,2.6295,1.8938,3.3673
1277,2.6319,1.8938,3.3783
1278,2.6344,1.8938,3.3894
1279,2.6368,1.8938,3.4005
1280,2.6384,1.8954,3.4005
1281,2.6408,1.8954,3.4115
1282,2.6432,1.8954,3.4226
1283,2.6456,1.8986,3.4189
1284,2.6464,1.8954,3.4374
1285,2.6489,1.8946,3.4521
1286,2.6513,1.8962,3.4558
1287,2.6545,1.8962,3.4705
1288,2.6545,1.8954,3.4742
1289,2.6569,1.8962,3.4816
1290,2.6577,1.8962,3.4853
1291,2.6618,1.8962,3.5037
1292,2.6634,1.8986,3.5001
1293,2.6658,1.8962,3.5222
1294,2.6674,1.8978,3.5222
1295,2.669,1.897,3.5332
1296,2.6722,1.8978,3.5443
1297,2.6738,1.8986,3.548
1298,2.6755,1.8986,3.5554
1299,2.6779,1.897,3.5738
1300,2.6803,1.8978,3.5812
1301,2.6819,1.897,3.5923
1302,2.6835,1.8986,3.5923
1303,2.6859,1.8986,3.6033
1304,2.6884,1.8978,3.6181
1305,2.69,1.8986,3.6218
1306,2.6916,1.8986,3.6291
1307,2.694,1.9018,3.6255
1308,2.6972,1.8986,3.655
1309,2.6988,1.8986,3.6623
1310,2.7004,1.8994,3.666
1311,2.7029,1.8994,3.6771
1312,2.7061,1.8994,3.6918
1313,2.7069,1.9002,3.6918
1314,2.7077,1.9002,3.6955
1315,2.7093,1.8986,3.7103
1316,2.7133,1.901,3.7177
1317,2.7149,1.9018,3.7213
1318,2.7166,1.9002,3.7361
1319,2.719,1.901,3.7435
1320,2.7214,1.901,3.7545
1321,2.723,1.901,3.7619
1322,2.7254,1.9002,3.7767
1323,2.7262,1.9002,3.7804
1324,2.7303,1.9002,3.7988
1325,2.7319,1.9018,3.7988
1326,2.7327,1.901,3.8062
1327,2.7367,1.9018,3.8209
1328,2.7375,1.9034,3.8172
1329,2.7399,1.9026,3.832
1330,2.7415,1.9018,3.8431
1331,2.744,1.9018,3.8541
1332,2.7456,1.9034,3.8541
1333,2.7472,1.9034,3.8615
1334,2.7504,1.901,3.8873
1335,2.7512,1.9034,3.8799
1336,2.7536,1.9059,3.8799
1337,2.7577,1.9042,3.9058
1338,2.7577,1.9042,3.9058
1339,2.7593,1.9042,3.9131
1340,2.7617,1.9034,3.9279
1341,2.7641,1.9034,3.9389
1342,2.7665,1.9059,3.9389
1343,2.7689,1.9067,3.9463
1344,2.7697,1.9042,3.9611
1345,2.773,1.9034,3.9795
1346,2.7754,1.9059,3.9795
1347,2.777,1.9067,3.9832
1348,2.7786,1.9051,3.998
1349,2.7802,1.9075,3.9943
1350,2.7826,1.9051,4.0164
1351,2.7842,1.9042,4.0275
1352,2.7867,1.9059,4.0311
1353,2.7891,1.9075,4.0348
1354,2.7923,1.9067,4.0533
1355,2.7931,1.9075,4.0533
1356,2.7955,1.9067,4.068
1357,2.7971,1.9067,4.0754
1358,2.8004,1.9067,4.0902
1359,2.8012,1.9067,4.0938
1360,2.8036,1.9067,4.1049
1361,2.8036,1.9059,4.1086
1362,2.8076,1.9067,4.1234
1363,2.8084,1.9083,4.1197
1364,2.8116,1.9075,4.1381
1365,2.8133,1.9067,4.1492
1366,2.8157,1.9075,4.1565
1367,2.8181,1.9083,4.1639
1368,2.8197,1.9091,4.1676
1369,2.8221,1.9091,4.1787
1370,2.8237,1.9099,4.1824
1371,2.8262,1.9099,4.1934
1372,2.8278,1.9091,4.2045
1373,2.8302,1.9083,4.2192
1374,2.8326,1.9099,4.2229
1375,2.8342,1.9091,4.234
1376,2.8358,1.9099,4.2377
1377,2.8382,1.9099,4.2487
1378,2.8399,1.9099,4.2561
1379,2.8423,1.9099,4.2672
1380,2.8431,1.9099,4.2709
1381,2.8447,1.9099,4.2783
1382,2.8503,1.9099,4.3041
1383,2.8511,1.9099,4.3078
1384,2.8519,1.9099,4.3114
1385,2.8544,1.9099,4.3225
1386,2.8568,1.9115,4.3262
1387,2.86,1.9115,4.341
1388,2.8608,1.9123,4.341
1389,2.8624,1.9139,4.341
1390,2.8648,1.9107,4.3668
1391,2.8681,1.9131,4.3705
1392,2.8697,1.9083,4.4
1393,2.8713,1.9131,4.3852
1394,2.8729,1.9123,4.3963
1395,2.8745,1.9115,4.4073
1396,2.8761,1.9131,4.4073
1397,2.8793,1.9139,4.4184
1398,2.8818,1.9123,4.4368
1399,2.8826,1.9131,4.4368
1400,2.8858,1.9131,4.4516
1401,2.8866,1.9099,4.47
1402,2.8898,1.9131,4.47
1403,2.8914,1.9139,4.4737
1404,2.8938,1.9139,4.4848
1405,2.8963,1.9131,4.4995
1406,2.8979,1.9147,4.4995
1407,2.9003,1.9147,4.5106
1408,2.9035,1.9139,4.529
1409,2.9043,1.9155,4.5254
1410,2.9067,1.9171,4.529
1411,2.9084,1.9163,4.5401
1412,2.91,1.9147,4.5549
1413,2.9124,1.9163,4.5586
1414,2.914,1.9131,4.5807
1415,2.9172,1.9155,4.5844
1416,2.9188,1.9147,4.5954
1417,2.9212,1.9155,4.6028
1418,2.9229,1.9155,4.6102
1419,2.9245,1.9179,4.6065
1420,2.9269,1.9155,4.6286
1421,2.9285,1.9171,4.6286
1422,2.9309,1.9163,4.6434
1423,2.9333,1.9179,4.6471
1424,2.9358,1.9163,4.6655
1425,2.9374,1.9188,4.6618
1426,2.939,1.9188,4.6692
1427,2.9414,1.9155,4.695
1428,2.9438,1.9171,4.6987
1429,2.9454,1.9179,4.7024
1430,2.9478,1.9179,4.7135
1431,2.9486,1.9188,4.7135
1432,2.9535,1.9179,4.7393
1433,2.9535,1.9171,4.743
1434,2.9575,1.9171,4.7614
1435,2.9575,1.9179,4.7577
1436,2.9599,1.9179,4.7688
1437,2.9623,1.9188,4.7762
1438,2.964,1.9188,4.7835
1439,2.9664,1.9196,4.7909
1440,2.968,1.9188,4.802
1441,2.9696,1.9188,4.8093
1442,2.972,1.9196,4.8167
1443,2.9752,1.9196,4.8315
1444,2.9768,1.9188,4.8425
1445,2.9777,1.9196,4.8425
1446,2.9817,1.9212,4.8536
1447,2.9833,1.9204,4.8647
1448,2.9849,1.9212,4.8684
1449,2.9865,1.9204,4.8794
1450,2.9897,1.9196,4.8979
1451,2.9914,1.9196,4.9052
1452,2.993,1.9204,4.9089
1453,2.9954,1.922,4.9126
1454,2.9978,1.9212,4.9274
1455,3.0018,1.9228,4.9384
1456,3.0018,1.9212,4.9458
1457,3.0034,1.922,4.9495
1458,3.0051,1.922,4.9569
1459,3.0067,1.922,4.9643
1460,3.0099,1.922,4.979
1461,3.0123,1.922,4.9901
1462,3.0139,1.9212,5.0011
1463,3.0155,1.9212,5.0085
1464,3.0179,1.9204,5.0233
1465,3.0212,1.9228,5.0269
1466,3.0212,1.9212,5.0343
1467,3.0236,1.9228,5.038
1468,3.0252,1.9228,5.0454
1469,3.0284,1.9228,5.0601
1470,3.0292,1.922,5.0675
1471,3.0325,1.9228,5.0786
1472,3.0349,1.9236,5.086
1473,3.0365,1.9228,5.097
1474,3.0405,1.9228,5.1155
1475,3.0397,1.9228,5.1118
1476,3.0421,1.9244,5.1155
1477,3.0437,1.9244,5.1228
1478,3.0478,1.9244,5.1413
1479,3.0494,1.9228,5.156
1480,3.0494,1.9236,5.1523
1481,3.0518,1.9252,5.156
1482,3.055,1.926,5.1671
1483,3.0566,1.9252,5.1782
1484,3.0582,1.9236,5.1929
1485,3.0607,1.9252,5.1966
1486,3.0639,1.926,5.2077
1487,3.0655,1.9268,5.2114
1488,3.0663,1.9276,5.2114
1489,3.0687,1.926,5.2298
1490,3.0719,1.926,5.2445
1491,3.0727,1.9244,5.2556
1492,3.0752,1.926,5.2593
1493,3.0776,1.9276,5.263
1494,3.0792,1.926,5.2777
1495,3.0808,1.926,5.2851
1496,3.0832,1.9252,5.2999
1497,3.0856,1.9276,5.2999
1498,3.0873,1.926,5.3146
1499,3.0889,1.9276,5.3146
1500,3.0921,1.9268,5.3331
1501,3.0945,1.9268,5.3441
1502,3.0953,1.9268,5.3478
1503,3.0985,1.9276,5.3589
1504,3.1001,1.9268,5.3699
1505,3.1026,1.9284,5.3736
1506,3.1066,1.926,5.4031
1507,3.1066,1.9284,5.3921
1508,3.109,1.9284,5.4031
1509,3.1106,1.9292,5.4068
1510,3.113,1.926,5.4326
1511,3.1147,1.9268,5.4363
1512,3.1155,1.9284,5.4326
1513,3.1187,1.93,5.44
1514,3.1203,1.9284,5.4548
1515,3.1243,1.9284,5.4732
1516,3.1243,1.9292,5.4695
1517,3.1267,1.9276,5.488
1518,3.1292,1.9284,5.4953
1519,3.1308,1.93,5.4953
1520,3.1332,1.93,5.5064
1521,3.1356,1.93,5.5175
1522,3.1364,1.9308,5.5175
1523,3.1396,1.93,5.5359
1524,3.1412,1.93,5.5433
1525,3.1412,1.9308,5.5396
1526,3.1453,1.9316,5.5544
1527,3.1477,1.9316,5.5654
1528,3.1501,1.9316,5.5765
1529,3.1525,1.9333,5.5802
1530,3.1541,1.9308,5.5986
1531,3.1566,1.9308,5.6097
1532,3.1574,1.93,5.6171
1533,3.1598,1.9308,5.6244
1534,3.1614,1.9316,5.6281
1535,3.1622,1.93,5.6392
1536,3.1638,1.9316,5.6392
1537,3.163,1.9333,5.6281
1538,3.1646,1.9308,5.6466
1539,3.1646,1.9341,5.6318
1540,3.1646,1.9333,5.6355
1541,3.1654,1.9325,5.6429
1542,3.1646,1.9308,5.6466
1543,3.1654,1.9325,5.6429
1544,3.1662,1.9316,5.6502
1545,3.167,1.9316,5.6539
1546,3.1654,1.9325,5.6429
1547,3.1662,1.9308,5.6539
1548,3.1662,1.9316,5.6502
1549,3.167,1.9308,5.6576
1550,3.167,1.9316,5.6539
1551,3.1678,1.9316,5.6576
1552,3.1638,1.9316,5.6392
1553,3.1686,1.9308,5.665
1554,3.167,1.9325,5.6502
1555,3.1686,1.9333,5.6539
1556,3.167,1.9308,5.6576
1557,3.1678,1.9316,5.6576
1558,3.167,1.93,5.6613
1559,3.167,1.9308,5.6576
1560,3.1662,1.9316,5.6502
1561,3.167,1.93,5.6613
1562,3.167,1.9316,5.6539
1563,3.167,1.9325,5.6502
1564,3.1654,1.9341,5.6355
1565,3.167,1.9333,5.6466
1566,3.1695,1.9316,5.665
1567,3.1678,1.9308,5.6613
1568,3.167,1.9316,5.6539
1569,3.1678,1.9308,5.6613
1570,3.167,1.9308,5.6576
1571,3.1678,1.9316,5.6576
1572,3.1678,1.9308,5.6613
1573,3.167,1.93,5.6613
1574,3.1678,1.9316,5.6576
1575,3.1662,1.9308,5.6539
1576,3.167,1.93,5.6613
1577,3.1678,1.9316,5.6576
1578,3.1678,1.9316,5.6576
1579,3.1678,1.9316,5.6576
1580,3.1678,1.9316,5.6576
1581,3.1678,1.9316,5.6576
1582,3.167,1.9308,5.6576
1583,3.1678,1.9316,5.6576
1584,3.167,1.9325,5.6502
1585,3.167,1.9325,5.6502
1586,3.167,1.9316,5.6539
1587,3.167,1.9333,5.6466
1588,3.1678,1.9325,5.6539
1589,3.1662,1.93,5.6576
1590,3.1678,1.9308,5.6613
1591,3.167,1.9333,5.6466
1592,3.167,1.93,5.6613
1593,3.1678,1.9308,5.6613
1594,3.1678,1.9325,5.6539
1595,3.167,1.9333,5.6466
1596,3.1686,1.9325,5.6576
1597,3.1678,1.9252,5.6871
1598,3.167,1.9308,5.6576
1599,3.167,1.9325,5.6502
